id,cage,date,body_weight,sex,strain
A-20424,CBB2353_Em,1/13/2026,14.3,Male,A
A-20425,CBB2353_Em,1/13/2026,14.6,Male,A
A-20436,CBB2353_Em,1/13/2026,15.4,Male,A
A-20434,CBB2353_Em,1/13/2026,13.6,Male,A
A-20410,CBB2353_Mf_1,1/13/2026,14.2,Female,B
A-20409,CBB2353_Mf_1,1/13/2026,13.4,Female,B
A-20403,CBB2353_Mf_1,1/13/2026,14.8,Female,B
A-20401,CBB2353_Mm,1/13/2026,16.6,Male,B
A-20404,CBB2353_Mm,1/13/2026,15.1,Male,B
A-20402,CBB2353_Mm,1/13/2026,18.2,Male,B
A-20405,CBB2353_Mm,1/13/2026,15,Male,B
A-20406,CBB2353_Mm_2,1/13/2026,14.4,Male,B
A-20407,CBB2353_Mm_2,1/13/2026,14,Male,B
A-20408,CBB2353_Mm_2,1/13/2026,14.3,Male,B
A-20398,CBB2353_Sf,1/13/2026,19.5,Female,C
A-20399,CBB2353_Sf,1/13/2026,18.7,Female,C
A-20400,CBB2353_Sf,1/13/2026,18.6,Female,C
A-20444,CBB2353_Sf_2,1/13/2026,18.1,Female,C
A-20443,CBB2353_Sf_2,1/13/2026,17.9,Female,C
A-20445,CBB2353_Sf_2,1/13/2026,18.8,Female,C
A-20397,CBB2353_Sm,1/13/2026,20.8,Male,C
A-20441,CBB2353_Sm_2,1/13/2026,20.9,Male,C
A-20442,CBB2353_Sm_2,1/13/2026,18.5,Male,C
A-20440,CBB2353_Sm_2,1/13/2026,20.9,Male,C
A-20395,CBB2353_Tf,1/13/2026,20.1,Female,D
A-20396,CBB2353_Tf,1/13/2026,17.8,Female,D
A-20394,CBB2353_Tf,1/13/2026,18.7,Female,D
A-20393,CBB2353_Tf,1/13/2026,17.8,Female,D
A-20392,CBB2353_Tf,1/13/2026,19,Female,D
A-20390,CBB2353_Tm,1/13/2026,24.4,Male,D
A-20391,CBB2353_Tm,1/13/2026,23.6,Male,D
A-20419,CBB2353_Tm_2,1/13/2026,23.7,Male,D
A-20411,CBB2353_Tm_2,1/13/2026,21.9,Male,D
A-20420,CBB2353_Tm_2,1/13/2026,22.4,Male,D
A-20412,CBB2353_Tm_2,1/13/2026,21.7,Male,D
A-20390,CBB2353_Tm_1,1/20/2026,26.2,Male,D
A-20391,CBB2353_Tm_1,1/20/2026,25.2,Male,D
A-20392,CBB2353_Tf,1/20/2026,20.7,Female,D
A-20393,CBB2353_Tf,1/20/2026,19.8,Female,D
A-20394,CBB2353_Tf,1/20/2026,20,Female,D
A-20395,CBB2353_Tf,1/20/2026,21.3,Female,D
A-20396,CBB2353_Tf,1/20/2026,18.3,Female,D
A-20397,CBB2353_Sm_1,1/20/2026,22.4,Male,C
A-20398,CBB2353_Sf_1,1/20/2026,20.2,Female,C
A-20399,CBB2353_Sf_1,1/20/2026,18.4,Female,C
A-20400,CBB2353_Sf_1,1/20/2026,18.8,Female,C
A-20401,CBB2353_Mm_1,1/20/2026,17.1,Male,B
A-20402,CBB2353_Mm_1,1/20/2026,18.7,Male,B
A-20403,CBB2353_Mf,1/20/2026,14.6,Female,B
A-20404,CBB2353_Mm_1,1/20/2026,16.2,Male,B
A-20405,CBB2353_Mm_1,1/20/2026,15.9,Male,B
A-20406,CBB2353_Mm_2,1/20/2026,15.5,Male,B
A-20407,CBB2353_Mm_2,1/20/2026,14.8,Male,B
A-20408,CBB2353_Mm_2,1/20/2026,15.4,Male,B
A-20409,CBB2353_Mf,1/20/2026,13.4,Female,B
A-20410,CBB2353_Mf,1/20/2026,14.4,Female,B
A-20411,CBB2353_Tm_2,1/20/2026,23.2,Male,D
